claim,evidence,label
Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma.,"[""Hunter bidens previous career history does not include work for energy company's."", ""Hunter Bidens previous career history does not include working with Ukrainian company's.""]",SUPPORTED
"Joe Biden voted for the Irag War and supported war in Serbia, Syria and Libya.","[""He voted in support of the Serbian war with the Kosovo Resolution""]",NOT ENOUGH INFO
"Joe Biden voted for the Iraq War and he supported wars in Serbia, Syria, and Libya.","[""When Joe Biden was a U.S. Senator, he voted in favor of a resolution on Iraq in October 2022."", ""In a November 2005 interview on NBC\u2019s \""Meet the Press,\"" Biden was asked if his 2002 vote was a mistake.\n\n\""It was a mistake,\"" Biden said. \""It was a mistake to assume the president would use the authority we gave him properly. \u2026 We gave the president the authority to unite the world to isolate Saddam. And the fact of the matter is, we went too soon. We went without sufficient force. And we went without a plan.\"""", ""Joe Biden voted for a 1999 concurrent resolution."", ""Biden\u2019s campaign said the Obama-Biden administration supported the Syrian opposition in a variety of ways, including by deploying U.S. forces to combat ISIS."", ""He followed policies of the Obama administration, which included interventions in Libya.""]",SUPPORTED
Donald Trump has kept his promises to voters,"[""Trump has not delivered on many promises he made but there are a few which he has as described in the following article, most of which relate closely to nationalistic policies that he promised \""Trump has acted on that vision, making good on his nativist immigration rhetoric, tearing back regulations on business and transforming America\u2019s role in the world by abandoning multilateral agreements and upending decades-old alliances\""""]",NOT ENOUGH INFO
There is a ‘global average’ for the number of judges and magistrates to number of people,"[""some countries might still\nonly report the number of judges whose duty is\nthe judgment of criminal cases. Apart from this,\nit is not clear whether really all judges are\nincluded in the reported figures in all countries.\nNumbers will often only include judges at\nordinary courts, but not those working at\nspecialized courts (like administrative courts\netc.).""]",NOT ENOUGH INFO
"In Kenya, one Magistrate serves 77,000 people.","[""It is 10,114 more than is actually claimed.""]",REFUTED
No Democrats have condemned the rioting that has occurred alongside recent protests.,"[""Joe Biden condemned the rioting as needless destruction."", ""Joe Biden condemned the rioting as needless destruction.""]",REFUTED
"A pizza place in Washington, D.C. -- Comet Ping Pong has ties to Hillary Clinton and other leading Democrats","[""There is not proven links at all"", ""A man traveled to the area and fired an assault rifle inside the restaurant, determined to investigate the claims himself. No one was injured, there was no evidence of child abuse.""]",REFUTED
South Africans are among the top drinkers in the world.,"[""South Africa ranked sixth""]",SUPPORTED
South Africans drink more per person than anywhere else in Africa,"[""- Tunisia (36.6 litres),\n- Eswatini (34.4 litres)\n- Namibia (32.4 litres)""]",REFUTED
Only 31% of South Africans drink alcohol.,"[""A 2018 report uses the 2016 data for South Africans who drink alcohol""]",SUPPORTED
Joe Biden officiated a gay wedding at the White House in 2016.,"[""Vice President Joe Biden  officiated over the wedding of two longtime White House staffers, Brian Mosteller and Joe Mahshie, at the Naval Observatory in 2016."", ""On the White House grounds, not within the White House.""]",NOT ENOUGH INFO
Democratic Arizona Superintendent of Public Instruction Kathy Hoffman is “pushing” for sex education that would teach kindergartners about masturbation and sexual positions.,"[""June 2019\nThe State Board resolved the lawsuit by changing a portion of the sex ed rules in May, but this proposal, which Hoffman asked the board to consider, would have made several more changes developed by Sen. Martin Quezada, D-Glendale, and a group of stakeholders."", ""Ultimately, board members decided not to take action and let existing rules stand.""]",REFUTED
Democratic Arizona Superintendent of Public Instruction Kathy Hoffman was sworn into office on a Dr. Seuss book.,"[""There is no requirement that public officials swear in on the Bible, or any other religious book, per the U.S. Constitution\u2019s Article VI, Clause 3.""]",REFUTED
India's Supreme Court recently changed its motto from ‘Satyamev Jayate’ to ‘Yato Dharmastato Jai’.,"[""There is no evidence of the motto being changed."", ""There is no reference to a change of motto.""]",REFUTED
Candace Owens was fired from her show at One America News after a  racist outburst.,"[""Her show was on 'praeru'"", ""It is a satrical news site as explained by themselves, taterforceone.com is a subsidiary of the \u201cAmerica\u2019s Last Line of Defense\u201d network of parody, satire, and tomfoolery, or as Snopes called it before they lost their war on satire: Junk News""]",REFUTED
President Trump is the most pro-gay president in American history.,"[""He made laws such as \n1. Appointing Anti-Equality Judges\n2. Stripping protections from LGBTQ students, parents and families\n3. Defending Anti-Gay Discrimination""]",REFUTED
"Messages in Google Earth show the ""Deep States New Home,"" which shows up on the map as ""Setatspeed Emohwen Gardens"" near Guantanamo Bay, Cuba.","[""Guant\u00e1namo Bay is a bay in Guant\u00e1namo Province at the southeastern end of Cuba""]",REFUTED
Donald Trump is trying to take away the health care by getting rid of the Affordable Care Act.,"[""The claim refers to  a court case pending before the Supreme Court in which the Trump has joined a group of Republican governors in an effort to overturn the Affordable Care Act""]",SUPPORTED
Trumps January 2018 travel ban was unlawful.,"[""The President has lawfully exercised the broad discretion granted to him under \u00a71182(f) to suspend the entry of aliens into the United States. Pp. 9\u201324."", ""The American Civil Liberties Union and other partner organizations filed a federal lawsuit challenging President Trump\u2019s Muslim ban executive order, charging it violates the Constitution \u2014 including the First Amendment\u2019s prohibition of government establishment of religion and the Fifth Amendment\u2019s guarantees of equal treatment under the law \u2014 and federal laws."", ""On June 26, 2018 the United States Supreme Court upheld Presidential Proclamation 9645, allowing Travel Ban 3.0 to continue. The countries currently affected by the ban are Iran, Libya, Yemen, Syria, Somalia, Venezuela and North Korea. Chad was removed from this list in April 2018 and is no longer subject to this travel ban.""]",REFUTED
"Drinking traditional Chinese medicine (TCM) or steroids, along with antibiotics at the onset of symptoms cures COVID-19.","[""Scientists around the world are working to find and develop treatments for COVID-19. Home remedies do not cure Covid-19.""]",REFUTED
"Nigeria is the largest producer of rice in Africa, ranking 14th in the world.","[""It is listed on the United states department of Agriculture.""]",SUPPORTED
"In the US, envelopes used for mail-in ballots in general elections reveal the party affiliation of the voter allowing postal workers to toss votes.","[""In a general election, ballot envelopes in Florida do not reveal party affiliation, an election official told us. Voting experts told us they aren\u2019t aware of any jurisdiction using such labels in general elections, nor would there be a reason to do so.""]",REFUTED
